"","Name","Gender","Count"
"1","Sophia","F",21842
"2","Isabella","F",19910
"3","Emma","F",18803
"4","Olivia","F",17322
"5","Ava","F",15503
"6","Emily","F",14258
"7","Abigail","F",13248
"8","Madison","F",12389
"9","Mia","F",11530
"10","Chloe","F",10991
"11","Elizabeth","F",10091
"12","Ella","F",9590
"13","Addison","F",9302
"14","Natalie","F",8638
"15","Lily","F",8180
"16","Grace","F",7633
"17","Samantha","F",7395
"18","Avery","F",7341
"19","Sofia","F",7328
"20","Aubrey","F",7177
"21","Brooklyn","F",7167
"22","Lillian","F",6921
"23","Victoria","F",6887
"24","Evelyn","F",6707
"25","Hannah","F",6571
"26","Alexis","F",6524
"27","Charlotte","F",6427
"28","Zoey","F",6401
"29","Leah","F",6392
"30","Amelia","F",6369
"31","Zoe","F",6305
"32","Hailey","F",6274
"33","Nevaeh","F",6106
"34","Gabriella","F",6097
"35","Layla","F",6080
"36","Kaylee","F",6044
"37","Alyssa","F",6018
"38","Anna","F",5663
"39","Sarah","F",5556
"40","Allison","F",5466
"41","Savannah","F",5450
"42","Ashley","F",5398
"43","Audrey","F",5210
"44","Taylor","F",5189
"45","Brianna","F",5181
"46","Aaliyah","F",5120
"47","Riley","F",5033
"48","Camila","F",4968
"49","Khloe","F",4956
"50","Claire","F",4896
"51","Sophie","F",4728
"52","Arianna","F",4688
"53","Peyton","F",4675
"54","Harper","F",4674
"55","Alexa","F",4506
"56","Makayla","F",4452
"57","Julia","F",4348
"58","Kylie","F",4346
"59","Kayla","F",4327
"60","Bella","F",4266
"61","Katherine","F",4186
"62","Lauren","F",4098
"63","Gianna","F",4066
"64","Maya","F",4018
"65","Sydney","F",3973
"66","Serenity","F",3859
"67","Kimberly","F",3809
"68","Mackenzie","F",3795
"69","Autumn","F",3762
"70","Jocelyn","F",3729
"71","Faith","F",3727
"72","Lucy","F",3701
"73","Jasmine","F",3698
"74","Stella","F",3694
"75","Morgan","F",3671
"76","Alexandra","F",3628
"77","Trinity","F",3622
