"","Name","Gender","Count"
"1","Emma","F",20936
"2","Olivia","F",19807
"3","Sophia","F",18609
"4","Isabella","F",17089
"5","Ava","F",15696
"6","Mia","F",13512
"7","Emily","F",12647
"8","Abigail","F",12085
"9","Madison","F",10320
"10","Charlotte","F",10115
"11","Harper","F",9608
"12","Sofia","F",9597
"13","Avery","F",9568
"14","Elizabeth","F",9564
"15","Amelia","F",8795
"16","Evelyn","F",8747
"17","Ella","F",8553
"18","Chloe","F",8538
"19","Victoria","F",7996
"20","Grace","F",7641
"21","Aubrey","F",7623
"22","Zoey","F",7411
"23","Natalie","F",7105
"24","Addison","F",6988
"25","Lillian","F",6913
"26","Brooklyn","F",6816
"27","Lily","F",6773
"28","Hannah","F",6585
"29","Layla","F",6453
"30","Scarlett","F",6005
"31","Aria","F",5923
"32","Zoe","F",5877
"33","Samantha","F",5726
"34","Anna","F",5689
"35","Leah","F",5604
"36","Audrey","F",5563
"37","Ariana","F",5495
"38","Savannah","F",5473
"39","Allison","F",5472
"40","Arianna","F",5267
"41","Camila","F",5218
"42","Gabriella","F",5098
"43","Penelope","F",5084
"44","Claire","F",5014
"45","Aaliyah","F",4883
"46","Sadie","F",4860
"47","Riley","F",4794
"48","Skylar","F",4770
"49","Nora","F",4738
"50","Sarah","F",4703
"51","Hailey","F",4615
"52","Kaylee","F",4539
"53","Paisley","F",4494
"54","Kennedy","F",4489
"55","Ellie","F",4480
"56","Peyton","F",4447
"57","Annabelle","F",4355
"58","Caroline","F",4344
"59","Serenity","F",4330
"60","Madelyn","F",4309
"61","Lucy","F",4295
"62","Aubree","F",4271
"63","Alexa","F",4246
"64","Nevaeh","F",4239
"65","Alexis","F",4234
"66","Stella","F",4198
"67","Violet","F",4184
"68","Genesis","F",4163
"69","Mackenzie","F",4150
"70","Bella","F",4087
"71","Autumn","F",4066
"72","Mila","F",4056
"73","Kylie","F",3957
"74","Maya","F",3949
"75","Piper","F",3866
"76","Alyssa","F",3829
"77","Taylor","F",3809
"78","Eleanor","F",3736
"79","Faith","F",3719
"80","Naomi","F",3708
"81","Melanie","F",3696
"82","Eva","F",3682
"83","Katherine","F",3678
"84","Lydia","F",3640
"85","Brianna","F",3608
"86","Julia","F",3599
"87","Ashley","F",3556
"88","Khloe","F",3544
"89","Madeline","F",3442
"90","Ruby","F",3423
"91","Sophie","F",3388
"92","Alexandra","F",3311
"93","London","F",3286
"94","Lauren","F",3090
"95","Gianna","F",3078
"96","Isabelle","F",3075
"97","Vivian","F",3062
"98","Alice","F",3052
"99","Jasmine","F",3024
"100","Hadley","F",3013
"101","Kayla","F",3007
"102","Morgan","F",3001
"103","Cora","F",2964
"104","Bailey","F",2942
"105","Hazel","F",2904
"106","Reagan","F",2900
"107","Kimberly","F",2899
"108","Clara","F",2854
"109","Sydney","F",2852
"110","Trinity","F",2805
"111","Natalia","F",2796
"112","Valentina","F",2779
"113","Rylee","F",2772
"114","Maria","F",2769
"115","Jocelyn","F",2759
"116","Eliana","F",2741
"117","Aurora","F",2740
"118","Brielle","F",2651
"119","Liliana","F",2637
"120","Mary","F",2632
"121","Elena","F",2612
"122","Molly","F",2601
"123","Makayla","F",2584
"124","Lilly","F",2569
"125","Andrea","F",2557
"126","Quinn","F",2550
"127","Jordyn","F",2548
"128","Nicole","F",2533
"129","Adalynn","F",2521
"130","Delilah","F",2511
"131","Kinsley","F",2442
"132","Kendall","F",2440
"133","Ariel","F",2438
"134","Payton","F",2411
"135","Paige","F",2409
"136","Mariah","F",2402
"137","Mya","F",2402
"138","Willow","F",2400
"139","Brooke","F",2389
"140","Jade","F",2388
"141","Lyla","F",2380
"142","Ximena","F",2339
"143","Luna","F",2337
"144","Isabel","F",2327
"145","Mckenzie","F",2321
"146","Ivy","F",2287
"147","Josephine","F",2283
"148","Amy","F",2192
"149","Laila","F",2144
"150","Isla","F",2133
"151","Eden","F",2132
"152","Angelina","F",2123
"153","Adalyn","F",2117
"154","Londyn","F",2092
"155","Rachel","F",2085
"156","Destiny","F",2068
"157","Melody","F",2060
"158","Juliana","F",2059
"159","Kaitlyn","F",2057
"160","Brooklynn","F",2054
"161","Emery","F",2046
"162","Gracie","F",2044
"163","Norah","F",2007
"164","Emilia","F",2000
"165","Reese","F",1971
"166","Aliyah","F",1967
"167","Elise","F",1967
"168","Sara","F",1967
"169","Margaret","F",1950
"170","Catherine","F",1941
"171","Vanessa","F",1925
"172","Gabrielle","F",1921
"173","Katelyn","F",1917
"174","Arabella","F",1904
"175","Valeria","F",1890
"176","Valerie","F",1882
"177","Adriana","F",1874
"178","Everly","F",1869
"179","Jessica","F",1797
"180","Daisy","F",1785
"181","Rebecca","F",1778
"182","Makenzie","F",1774
"183","Lila","F",1773
"184","Summer","F",1773
"185","Julianna","F",1770
"186","Callie","F",1760
"187","Ryleigh","F",1750
"188","Michelle","F",1749
"189","Alaina","F",1742
"190","Presley","F",1742
"191","Angela","F",1734
"192","Harmony","F",1721
"193","Alina","F",1713
"194","Rose","F",1693
"195","Athena","F",1688
"196","Emerson","F",1682
"197","Adelyn","F",1673
"198","Alana","F",1672
"199","Izabella","F",1668
"200","Hayden","F",1663
"201","Cali","F",1660
"202","Esther","F",1660
"203","Marley","F",1647
"204","Fiona","F",1646
"205","Stephanie","F",1641
"206","Cecilia","F",1638
"207","Jayla","F",1621
"208","Kate","F",1620
"209","Kinley","F",1617
"210","Genevieve","F",1608
"211","Alexandria","F",1604
"212","Eliza","F",1602
"213","Alivia","F",1598
"214","Kylee","F",1589
"215","Giselle","F",1576
"216","Arya","F",1554
"217","Alayna","F",1547
"218","Leilani","F",1538
"219","Adeline","F",1530
"220","Ana","F",1530
"221","Jennifer","F",1521
"222","Tessa","F",1520
"223","Finley","F",1510
"224","Melissa","F",1506
"225","Aniyah","F",1494
"226","Daniela","F",1493
"227","Keira","F",1468
"228","Daleyza","F",1466
"229","Hope","F",1440
"230","Charlie","F",1438
"231","Lucia","F",1433
"232","Gabriela","F",1411
"233","Mckenna","F",1403
"234","Parker","F",1399
"235","Brynlee","F",1396
"236","Lola","F",1388
"237","Amaya","F",1362
"238","Maggie","F",1354
"239","Miranda","F",1351
"240","Anastasia","F",1342
"241","Georgia","F",1333
"242","Leila","F",1330
"243","Lexi","F",1330
"244","Kenzie","F",1328
"245","Iris","F",1325
"246","Jordan","F",1312
"247","Cassidy","F",1308
"248","Jacqueline","F",1308
"249","Vivienne","F",1297
"250","Noelle","F",1292
"251","Camille","F",1288
"252","Josie","F",1285
"253","Teagan","F",1283
"254","Adrianna","F",1280
"255","Annabella","F",1277
"256","Allie","F",1276
"257","Juliette","F",1272
"258","Kendra","F",1271
"259","Juliet","F",1268
"260","Sienna","F",1264
"261","Brynn","F",1257
"262","Kali","F",1256
"263","Danielle","F",1242
"264","Maci","F",1238
"265","Jenna","F",1234
"266","Haley","F",1233
"267","Raelynn","F",1231
"268","Delaney","F",1230
"269","Paris","F",1226
"270","Alexia","F",1223
"271","Lyric","F",1219
"272","Gemma","F",1218
"273","Lilliana","F",1213
"274","Angel","F",1200
"275","Chelsea","F",1194
"276","Evangeline","F",1187
"277","Ayla","F",1182
"278","Kayleigh","F",1172
"279","Lena","F",1167
"280","Katie","F",1165
"281","Elaina","F",1151
"282","Olive","F",1151
"283","Madeleine","F",1149
"284","Dakota","F",1147
"285","Makenna","F",1146
"286","Elsa","F",1140
"287","Nova","F",1132
"288","Nadia","F",1124
"289","Kaydence","F",1121
"290","Journey","F",1120
"291","Alison","F",1118
"292","Jada","F",1117
"293","Kathryn","F",1113
"294","Shelby","F",1110
"295","Nina","F",1106
"296","Phoebe","F",1103
"297","Elliana","F",1102
"298","Diana","F",1092
"299","Skyler","F",1083
"300","Alessandra","F",1081
"301","Eloise","F",1081
"302","Nyla","F",1080
"303","Madilyn","F",1077
"304","Miriam","F",1070
"305","Amber","F",1064
"306","Adelynn","F",1061
"307","Megan","F",1061
"308","Ashlyn","F",1059
"309","Ruth","F",1059
"310","Rosalie","F",1058
"311","Amiyah","F",1057
"312","Annie","F",1055
"313","Charlee","F",1054
