"","Name","Gender","Count"
"1","Emma","F",20455
"2","Olivia","F",19691
"3","Sophia","F",17417
"4","Ava","F",16378
"5","Isabella","F",15617
"6","Mia","F",14905
"7","Abigail","F",12401
"8","Emily","F",11786
"9","Charlotte","F",11398
"10","Harper","F",10295
"11","Madison","F",10088
"12","Amelia","F",9861
"13","Elizabeth","F",9730
"14","Sofia","F",9690
"15","Evelyn","F",9363
"16","Avery","F",9342
"17","Chloe","F",7930
"18","Ella","F",7902
"19","Grace","F",7656
"20","Victoria","F",7609
"21","Aubrey","F",7386
"22","Scarlett","F",7131
"23","Zoey","F",6944
"24","Addison","F",6721
"25","Lily","F",6661
"26","Lillian","F",6612
"27","Natalie","F",6500
"28","Hannah","F",6414
"29","Aria","F",6405
"30","Layla","F",6330
"31","Brooklyn","F",6311
"32","Alexa","F",6052
"33","Zoe","F",6041
"34","Penelope","F",5949
"35","Riley","F",5730
"36","Leah","F",5618
"37","Audrey","F",5603
"38","Savannah","F",5456
"39","Allison","F",5346
"40","Samantha","F",5340
"41","Nora","F",5323
"42","Skylar","F",5281
"43","Camila","F",5274
"44","Anna","F",5130
"45","Paisley","F",5078
"46","Ariana","F",4958
"47","Aaliyah","F",4863
"48","Ellie","F",4862
"49","Claire","F",4829
"50","Violet","F",4813
"51","Stella","F",4792
"52","Sadie","F",4752
"53","Mila","F",4730
"54","Gabriella","F",4622
"55","Lucy","F",4547
"56","Arianna","F",4530
"57","Sarah","F",4521
"58","Kennedy","F",4519
"59","Madelyn","F",4481
"60","Eleanor","F",4434
"61","Kaylee","F",4363
"62","Caroline","F",4329
"63","Hazel","F",4297
"64","Hailey","F",4247
"65","Genesis","F",4160
"66","Kylie","F",4153
"67","Piper","F",4130
"68","Maya","F",4125
"69","Autumn","F",4114
"70","Nevaeh","F",4002
"71","Serenity","F",3985
"72","Peyton","F",3902
"73","Mackenzie","F",3858
"74","Bella","F",3794
"75","Eva","F",3761
"76","Naomi","F",3761
"77","Taylor","F",3746
"78","Aurora","F",3642
"79","Aubree","F",3630
"80","Lydia","F",3498
"81","Melanie","F",3493
"82","Brianna","F",3469
"83","Ruby","F",3462
"84","Katherine","F",3445
"85","Ashley","F",3424
"86","Alexis","F",3418
"87","Alice","F",3418
"88","Cora","F",3401
"89","Julia","F",3373
"90","Madeline","F",3335
"91","Faith","F",3325
"92","Annabelle","F",3273
"93","Alyssa","F",3252
"94","Isabelle","F",3217
"95","Vivian","F",3201
"96","Gianna","F",3177
"97","Quinn","F",3090
"98","Clara","F",3064
"99","Reagan","F",3055
"100","Alexandra","F",3001
"101","Khloe","F",3001
"102","Eliana","F",2984
"103","Hadley","F",2973
"104","Sophie","F",2941
"105","London","F",2915
"106","Elena","F",2891
"107","Bailey","F",2844
"108","Kimberly","F",2838
"109","Maria","F",2825
"110","Jasmine","F",2803
"111","Willow","F",2803
"112","Luna","F",2802
"113","Kinsley","F",2777
"114","Valentina","F",2748
"115","Kayla","F",2736
"116","Delilah","F",2731
"117","Andrea","F",2706
"118","Natalia","F",2696
"119","Lauren","F",2692
"120","Morgan","F",2684
"121","Rylee","F",2680
"122","Sydney","F",2659
"123","Mary","F",2631
"124","Adalynn","F",2618
"125","Ximena","F",2601
"126","Jade","F",2564
"127","Liliana","F",2558
"128","Brielle","F",2534
"129","Trinity","F",2512
"130","Ivy","F",2503
"131","Josephine","F",2500
"132","Adalyn","F",2453
"133","Jocelyn","F",2449
"134","Emery","F",2420
"135","Adeline","F",2407
"136","Jordyn","F",2374
"137","Ariel","F",2345
"138","Everly","F",2329
"139","Lilly","F",2305
"140","Paige","F",2290
"141","Isla","F",2272
"142","Lyla","F",2272
"143","Makayla","F",2256
"144","Molly","F",2252
"145","Emilia","F",2218
"146","Mya","F",2201
"147","Kendall","F",2195
"148","Melody","F",2175
"149","Isabel","F",2167
"150","Brooke","F",2147
"151","Mckenzie","F",2131
"152","Nicole","F",2113
"153","Mariah","F",2109
"154","Payton","F",2109
"155","Margaret","F",2105
"156","Eden","F",2064
"157","Athena","F",2049
"158","Amy","F",2040
"159","Norah","F",2028
"160","Londyn","F",2021
"161","Valeria","F",1977
"162","Sara","F",1974
"163","Angelina","F",1970
"164","Aliyah","F",1966
"165","Gracie","F",1953
"166","Rose","F",1945
"167","Rachel","F",1927
"168","Juliana","F",1901
"169","Brooklynn","F",1890
"170","Laila","F",1888
"171","Valerie","F",1877
"172","Reese","F",1857
"173","Alina","F",1856
"174","Elise","F",1844
"175","Eliza","F",1833
"176","Alaina","F",1819
"177","Catherine","F",1802
"178","Leilani","F",1800
"179","Raelynn","F",1798
"180","Emerson","F",1792
"181","Cecilia","F",1777
"182","Genevieve","F",1774
"183","Daisy","F",1768
"184","Harmony","F",1756
"185","Adriana","F",1729
"186","Vanessa","F",1727
"187","Presley","F",1726
"188","Destiny","F",1723
"189","Rebecca","F",1721
"190","Julianna","F",1711
"191","Hayden","F",1710
"192","Michelle","F",1701
"193","Callie","F",1683
"194","Summer","F",1681
"195","Adelyn","F",1679
"196","Arabella","F",1678
"197","Kaitlyn","F",1660
"198","Ryleigh","F",1657
"199","Lila","F",1654
"200","Arya","F",1642
"201","Daniela","F",1642
"202","Alana","F",1622
"203","Esther","F",1620
"204","Finley","F",1602
"205","Gabrielle","F",1602
"206","Jessica","F",1587
"207","Stephanie","F",1558
"208","Charlie","F",1557
"209","Tessa","F",1557
"210","Makenzie","F",1546
"211","Ana","F",1545
"212","Alexandria","F",1534
"213","Amaya","F",1526
"214","Nova","F",1524
"215","Alivia","F",1518
"216","Anastasia","F",1503
"217","Iris","F",1502
"218","Marley","F",1493
"219","Fiona","F",1492
"220","Angela","F",1487
"221","Giselle","F",1485
"222","Kate","F",1475
"223","Alayna","F",1457
"224","Lola","F",1454
"225","Lucia","F",1452
"226","Juliette","F",1450
"227","Hope","F",1445
"228","Parker","F",1443
"229","Sienna","F",1439
"230","Teagan","F",1438
